"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Nível","Cód.","Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Ano"
"Nível","Cód.","Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","2017","2018"
"BR","1","Brasil","6585479000.016","7004140999.992"
"GR","1","Norte","367956432.256","387535315.653"
"GR","2","Nordeste","953428747.078","1004827439.631"
"GR","3","Sudeste","3482142784.651","3721316871.025"
"GR","4","Sul","1122038154.103","1195550450.478"
"GR","5","Centro-Oeste","659912881.928","694910923.205"
"UF","11","Rondônia","43516147.492","44913978.485"
"UF","12","Acre","14272940.594","15331122.589"
"UF","13","Amazonas","93240190.919","100109235.067"
"UF","14","Roraima","12104709.147","13369987.723"
"UF","15","Pará","155232403.793","161349602.041"
"UF","16","Amapá","15481908.326","16795206.667"
"UF","17","Tocantins","34108131.985","35666183.081"
"UF","21","Maranhão","89542757.307","98179495.654"
"UF","22","Piauí","45365541.026","50378417.555"
"UF","23","Ceará","147921533.985","155903824.754"
"UF","24","Rio Grande do Norte","64305995.062","66969562.002"
"UF","25","Paraíba","62396775.525","64373595.371"
"UF","26","Pernambuco","181609500.842","186351975.245"
"UF","27","Alagoas","52851066.935","54413046.659"
"UF","28","Sergipe","40711486.162","42017981.276"
"UF","29","Bahia","268724090.234","286239541.115"
"UF","31","Minas Gerais","576375544.695","614875819.804"
"UF","32","Espírito Santo","113399936.793","137020054.877"
"UF","33","Rio de Janeiro","671605668.055","758859046.867"
"UF","35","São Paulo","2120761635.108","2210561949.477"
"UF","41","Paraná","421497870.228","440029402.856"
"UF","42","Santa Catarina","277270236.580","298227090.037"
"UF","43","Rio Grande do Sul","423270047.295","457293957.585"
"UF","50","Mato Grosso do Sul","96396433.756","106969141.700"
"UF","51","Mato Grosso","126845897.787","137442852.830"
"UF","52","Goiás","191948301.048","195681723.983"
"UF","53","Distrito Federal","244722249.337","254817204.692"
"MU","1100015","Alta Floresta D'Oeste (RO)","485374.332","499305.982"
"MU","1100023","Ariquemes (RO)","2287910.379","2463773.260"
"MU","1100031","Cabixi (RO)","138109.964","140502.269"
"MU","1100049","Cacoal (RO)","2082761.125","2180454.016"
"MU","1100056","Cerejeiras (RO)","439245.420","472178.834"
"MU","1100064","Colorado do Oeste (RO)","328377.180","330428.467"
"MU","1100072","Corumbiara (RO)","332803.811","320628.263"
"MU","1100080","Costa Marques (RO)","212878.868","230163.501"
